PROBLEM,Name,Logically Correct?,Follows  Rule?,Lines,Characters Per Line,Max Indentation,Average Indentation,Identifiers,Avg Identifier Length,Max Occurrences of any Identifier,If Statements,Max Paren Nest Level,Max Conditions Per If Statement
r1p1s1,FindTheBiggest1,yes,yes,10,23.4,2,1,4,7.5,6,2,1,1
r1p1s2,FindTheBiggest2,yes,no,17,20.06,3,1.71,4,7.5,6,3,1,1
r1p1s3,FindTheBiggest3,no,yes,13,26.92,2,1.08,4,7.5,6,3,2,2
r1p1s4,FindTheBiggest4,no,no,14,22.36,3,1.29,4,7.5,5,3,2,2
r1p2s1,FindGrade1,yes,yes,15,14.53,2,1.13,1,5,5,4,1,1
r1p2s2,FindGrade2,yes,no,21,15.48,5,2.43,2,5,7,4,1,1
r1p2s3,FindGrade3,no,yes,15,17.2,2,1.13,1,5,8,4,1,2
r1p2s4,FindGrade4,no,no,15,21.07,2,1.2,2,5,8,4,1,2
r1p3s1,BodyMassIndex1,yes,yes,16,19.94,2,1.13,1,3,5,4,1,1
r1p3s2,BodyMassIndex2,yes,no,21,20.57,5,2.43,2,4.5,7,4,1,1
r1p3s3,BodyMassIndex3,no,yes,16,22.88,2,1.13,1,3,8,4,1,2
r1p3s4,BodyMassIndex4,no,no,21,22.81,5,2.43,2,4.5,8,4,1,2
r1p4s1,CountPosNumbers1,yes,yes,13,16.31,2,1.08,4,6.25,5,3,1,1
r1p4s2,CountPosNumbers2,yes,no,25,16.88,4,2.08,3,6.67,5,7,1,1
r1p4s3,CountPosNumbers3,no,yes,13,16.54,2,1.08,4,6.25,5,3,1,1
r1p4s4,CountPosNumbers4,no,no,25,16.92,4,2.08,3,6.67,5,7,1,1
r2p1s1,WhoIsTheAuthor1,yes,yes,27,31.44,3,1.63,3,5.3,5,2,2,2
r2p1s2,WhoIsTheAuthor2,yes,no,27,31.3,3,1.59,3,5.3,5,2,2,2
r2p1s3,WhoIsTheAuthor3,no,yes,25,33.32,3,1.56,3,5.3,5,2,2,2
r2p1s4,WhoIsTheAuthor4,no,no,26,32.04,3,1.54,3,5.3,5,2,2,2
r2p2s1,ChangePassword1,yes,yes,23,25.57,6,2.26,6,3.83,9,2,2,2
r2p2s2,ChangePassword2,yes,no,24,24,6,2.21,6,3.83,9,2,2,2
r2p2s3,ChangePassword3,no,yes,22,25.82,5,1.95,6,3.83,9,2,2,2
r2p2s4,ChangePassword4,no,no,23,24.17,5,1.91,6,3.83,9,2,2,2
r2p3s1,SumPositiveNums1,yes,yes,12,18.58,3,1.25,4,4.75,5,1,1,1
r2p3s2,SumPositiveNums2,yes,no,16,16.63,3,1.25,4,4.75,5,2,1,1
r2p3s3,SumPositiveNums3,no,yes,12,18.67,3,1.33,4,4.75,5,1,1,1
r2p3s4,SumPositiveNums4,no,no,16,16.69,3,1.31,4,4.75,5,2,1,1
r2p4s1,CountLetter1,yes,yes,14,18.93,3,1.43,5,5.4,5,1,2,1
r2p4s2,CountLetter2,yes,no,18,17,3,1.39,5,5.4,5,2,2,1
r2p4s3,CountLetter3,no,yes,13,19.38,3,1.31,5,5.4,4,1,2,1
r2p4s4,CountLetter4,no,no,17,17.24,3,1.29,5,5.4,4,2,2,1
